"Set"	"N"	"Sim"	"HR"	"MAP"	"SV"	"CVP"	"SAP"	"DAP"	"Grav"	"CO"	"PP"
"2"	2	31	66.018515	100.158911	85.450803	7.170071	123.419654	75.122452	"1"	5.64133511961754	48.297202
"2"	2	32	65.192577	100.121422	86.258327	7.190066	123.626535	74.86615	"1"	5.62340262483868	48.760385
"2"	2	33	66.088213	99.997406	85.540183	7.177613	123.273449	74.945804	"1"	5.65319783416298	48.327645
"2"	2	34	66.31176	99.862807	86.116862	7.229997	123.272364	74.661811	"1"	5.71056068489712	48.610553
"2"	2	35	66.375299	99.813608	84.392189	7.075558	122.760269	75.062864	"1"	5.60155677813951	47.697405
"2"	2	36	66.043873	99.714737	85.192499	7.14067	122.874923	74.760337	"1"	5.62644258450863	48.114586
"2"	2	37	65.259244	99.792835	85.653405	7.139634	123.121086	74.708508	"1"	5.58967645632582	48.412578
"2"	2	38	65.984413	99.586935	85.247976	7.131233	122.772937	74.615259	"1"	5.62503765579809	48.157678
"2"	2	39	65.9241	99.886422	86.185683	7.198831	123.32781	74.658778	"1"	5.6817135846603	48.669032
"2"	2	40	65.422346	99.68401	85.630384	7.120301	122.980497	74.607156	"1"	5.60214061016086	48.373341
"2"	2	41	65.87652	100.147711	83.715051	7.00283	122.943218	75.566928	"1"	5.51485623150252	47.37629
"2"	2	42	66.312395	100.729477	85.027275	7.172904	123.887244	75.808395	"1"	5.63836224557363	48.078849
"2"	2	43	64.992534	100.128487	87.013493	7.224752	123.829658	74.685454	"1"	5.65522740226126	49.144204
"2"	2	44	65.6989	100.530172	84.491115	7.062632	123.55178	75.73899	"1"	5.5509733152735	47.81279
"2"	2	45	67.087289	100.556354	84.637034	7.177974	123.583348	75.753754	"1"	5.67806916006083	47.829594
"2"	2	46	65.995925	99.575663	87.134234	7.288351	123.247974	74.111929	"1"	5.75050437199645	49.136045
"2"	2	47	63.582434	100.785318	85.693901	7.066547	124.203979	75.656034	"1"	5.44862680453503	48.547945
"2"	2	48	66.192029	100.206661	83.794312	7.043862	123.002962	75.602394	"1"	5.54651552993905	47.400568
"2"	2	49	65.8877	100.653401	84.849581	7.125014	123.761976	75.780286	"1"	5.5905437380537	47.98169
"2"	2	50	65.001301	99.884796	86.120998	7.146741	123.344124	74.666014	"1"	5.5979769134184	48.67811
"2"	2	51	66.216757	100.12977	85.185781	7.126935	123.280158	75.165728	"1"	5.64072616033222	48.11443
